x,y,pressures
0,0,2
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,2
0,16,2
0,17,2
0,18,2
0,19,1
0,20,2
0,21,1
0,22,2
0,24,2
0,25,2
0,26,2
0,27,0
0,28,1
0,31,2
0,32,2
0,33,2
0,34,2
0,35,2
0,36,2
0,37,2
0,38,2
0,42,2
0,43,2
0,44,2
0,45,2
0,46,1
0,47,2
0,48,2
0,49,2
0,50,2
0,51,2
0,52,2
0,54,2
0,55,2
0,56,2
0,57,1
0,58,2
0,59,2
0,60,2
0,61,2
0,62,2
0,63,2
0,64,2
0,65,2
0,67,2
0,68,2
0,69,2
0,70,2
0,71,2
0,72,2
0,73,2
0,74,2
0,75,2
0,76,2
0,77,2
0,78,2
0,79,2
0,80,2
0,81,2
0,82,2
0,83,1
0,84,2
0,85,2
0,86,2
0,87,2
0,88,2
0,89,2
0,90,2
0,91,2
0,92,2
0,93,2
0,94,2
0,95,1
0,96,2
0,97,2
0,98,2
0,99,2
0,100,2
0,101,2
0,102,2
0,103,2
0,104,2
0,105,2
0,106,2
0,107,2
0,108,2
0,109,2
0,110,2
0,111,2
0,112,2
0,113,2
0,114,2
0,115,2
0,116,2
0,117,2
0,118,2
1,0,2
1,1,2
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,9,2
1,10,2
1,11,2
1,12,2
1,13,2
1,14,2
1,15,2
1,16,2
1,19,2
1,20,1
1,21,2
1,22,2
1,23,2
1,25,2
1,26,2
1,27,2
1,29,2
1,30,1
1,31,2
1,32,2
1,33,2
1,34,2
1,35,2
1,36,2
1,39,2
1,42,2
1,43,2
1,44,2
1,45,2
1,46,2
1,47,2
1,49,2
1,50,2
1,51,1
1,52,2
1,53,2
1,54,2
1,55,2
1,56,2
1,57,2
1,58,2
1,59,2
1,60,2
1,61,2
1,63,2
1,65,2
1,66,2
1,68,2
1,69,2
1,70,2
1,71,2
1,72,2
1,73,2
1,74,2
1,75,2
1,76,2
1,77,2
1,78,2
1,79,2
1,80,2
1,81,2
1,82,2
1,83,2
1,84,2
1,85,2
1,86,2
1,87,2
1,88,2
1,89,2
1,90,2
1,91,2
1,92,2
1,93,2
1,94,2
1,95,2
1,96,2
1,97,2
1,98,2
1,99,2
1,100,2
1,101,2
1,102,2
1,103,2
1,104,2
1,105,2
1,106,2
1,107,1
1,108,2
1,109,2
1,110,1
1,112,2
1,113,2
1,114,2
1,115,2
1,116,2
1,117,2
1,118,2
2,0,2
2,1,2
2,2,2
2,3,2
2,4,2
2,5,2
2,6,2
2,7,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
2,15,2
2,16,2
2,17,2
2,18,2
2,19,2
2,21,1
2,22,2
2,23,2
2,24,2
2,25,2
2,31,0
2,32,2
2,33,2
2,34,2
2,35,2
2,36,2
2,37,2
2,38,2
2,39,2
2,40,1
2,41,2
2,42,2
2,43,2
2,44,2
2,45,2
2,46,2
2,47,2
2,48,2
2,49,2
2,50,2
2,51,1
2,52,2
2,53,2
2,54,2
2,55,2
2,56,2
2,57,2
2,58,2
2,59,2
2,60,2
2,61,2
2,62,2
2,63,2
2,64,2
2,65,2
2,66,2
2,67,2
2,68,2
2,69,2
2,70,2
2,71,2
2,72,2
2,73,2
2,74,2
2,76,2
2,77,2
2,78,2
2,79,2
2,80,2
2,81,2
2,82,2
2,83,2
2,84,2
2,85,2
2,86,2
2,87,1
2,88,2
2,89,1
2,90,2
2,91,1
2,92,2
2,93,2
2,94,2
2,95,2
2,96,2
2,97,2
2,98,2
2,99,2
2,100,2
2,101,2
2,102,2
2,103,2
2,104,2
2,105,2
2,106,2
2,107,2
2,108,2
2,109,2
2,111,2
2,112,2
2,113,2
2,114,2
2,116,2
2,117,2
3,0,2
3,1,2
3,2,2
3,3,2
3,4,2
3,5,2
3,6,2
3,7,2
3,8,2
3,9,1
3,10,2
3,11,2
3,12,2
3,13,2
3,15,2
3,16,2
3,17,2
3,18,1
3,19,1
3,20,1
3,21,2
3,22,2
3,23,2
3,24,2
3,25,2
3,30,2
3,31,1
3,32,2
3,33,2
3,34,2
3,35,2
3,36,2
3,37,2
3,38,2
3,39,2
3,40,1
3,42,2
3,43,2
3,44,2
3,45,2
3,47,2
3,48,1
3,49,2
3,50,2
3,51,1
3,52,2
3,53,2
3,54,2
3,55,2
3,56,2
3,57,2
3,58,2
3,59,2
3,60,2
3,61,2
3,64,1
3,65,2
3,66,2
3,67,2
3,68,2
3,69,2
3,70,2
3,71,2
3,72,2
3,73,2
3,74,2
3,75,2
3,76,2
3,77,2
3,78,2
3,79,2
3,80,2
3,81,2
3,82,2
3,83,2
3,84,2
3,85,2
3,86,2
3,87,2
3,88,2
3,89,2
3,90,2
3,91,2
3,92,2
3,93,2
3,94,2
3,95,2
3,96,2
3,97,2
3,98,2
3,99,2
3,100,2
3,101,2
3,102,2
3,103,2
3,104,2
3,105,2
3,106,2
3,107,2
3,108,2
3,109,2
3,110,1
3,112,2
3,113,2
3,114,2
3,115,2
3,116,2
3,117,2
4,0,2
4,1,2
4,2,2
4,3,2
4,4,2
4,5,2
4,6,2
4,7,2
4,8,2
4,10,2
4,11,2
4,12,2
4,13,1
4,15,2
4,17,2
4,19,2
4,20,1
4,21,2
4,22,2
4,23,2
4,24,2
4,25,2
4,26,2
4,27,2
4,30,2
4,31,2
4,32,2
4,33,2
4,34,2
4,35,2
4,36,2
4,37,2
4,39,1
4,40,2
4,41,2
4,42,2
4,43,2
4,44,2
4,45,2
4,46,2
4,47,2
4,48,2
4,49,2
4,50,2
4,51,2
4,52,2
4,54,2
4,55,2
4,56,0
4,59,2
4,60,2
4,61,2
4,63,2
4,64,2
4,65,2
4,66,2
4,67,2
4,68,1
4,69,2
4,70,2
4,71,2
4,72,2
4,73,2
4,74,2
4,75,2
4,76,1
4,77,2
