x,y,pressures
0,1,1
0,2,0
0,3,0
0,5,0
0,6,0
0,8,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,22,0
0,25,0
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0
0,33,0
0,36,0
0,38,0
0,39,0
0,41,0
0,42,0
0,43,0
0,44,0
0,45,0
0,46,0
0,48,0
0,49,0
0,50,0
0,53,0
0,54,0
0,56,0
0,59,0
0,61,0
0,63,0
0,64,0
0,66,0
0,68,0
0,71,0
0,72,0
0,74,0
0,75,0
0,76,0
0,78,0
0,80,0
0,81,0
0,82,0
0,83,0
0,84,0
0,85,0
0,86,0
0,87,0
0,88,0
0,89,0
0,90,0
0,91,0
0,92,0
0,93,0
0,94,0
0,95,0
0,96,0
0,97,0
0,98,0
0,99,0
0,100,0
0,101,0
0,102,0
0,103,0
0,104,0
0,106,0
0,107,0
0,109,0
0,110,0
0,111,0
0,112,0
0,114,0
0,115,0
0,116,0
0,118,0
0,119,0
0,122,0
0,123,0
0,125,0
0,126,0
0,127,0
1,0,1
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,23,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,39,0
1,40,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,50,0
1,51,0
1,53,0
1,54,0
1,55,0
1,56,0
1,57,0
1,59,0
1,61,0
1,62,0
1,63,0
1,64,0
1,66,0
1,67,0
1,68,0
1,69,0
1,73,0
1,75,0
1,76,0
1,77,0
1,78,0
1,79,0
1,80,0
1,81,0
1,82,0
1,83,0
1,85,0
1,86,0
1,87,0
1,90,0
1,91,0
1,92,0
1,93,0
1,94,0
1,95,0
1,96,0
1,97,0
1,98,0
1,99,0
1,101,0
1,102,0
1,105,0
1,106,0
1,107,0
1,108,0
1,109,0
1,110,0
1,111,0
1,112,0
1,113,0
1,115,0
1,116,0
1,118,0
1,121,0
1,122,0
1,125,0
1,126,0
2,0,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,9,0
2,10,0
2,11,0
2,12,0
2,26,0
2,28,0
2,29,0
2,30,0
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,48,0
2,51,0
2,52,0
2,53,0
2,54,0
2,55,0
2,61,0
2,63,0
2,64,0
2,65,0
2,66,0
2,67,0
2,69,0
2,72,0
2,73,0
2,74,0
2,75,0
2,76,0
2,78,0
2,79,0
2,80,0
2,81,0
2,83,0
2,84,0
2,86,0
2,87,0
2,88,0
2,90,0
2,91,0
2,92,0
2,93,0
2,94,0
2,95,0
2,96,0
2,97,0
2,98,0
2,101,0
2,102,0
2,103,0
2,104,0
2,105,0
2,106,0
2,108,0
2,110,0
2,112,0
2,113,0
2,114,0
2,115,0
2,116,0
2,117,0
2,118,0
2,121,0
2,122,0
2,123,0
2,126,0
2,127,0
3,3,0
3,4,0
3,5,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,16,0
3,31,0
3,33,0
3,34,0
3,36,0
3,37,0
3,40,0
3,41,0
3,42,0
3,43,0
3,44,0
3,45,0
3,46,0
3,47,0
3,54,0
3,55,0
3,59,0
3,60,0
3,61,0
3,64,0
3,67,0
3,69,0
3,71,0
3,72,0
3,73,0
3,74,0
3,75,0
3,76,0
3,77,0
3,78,0
3,79,0
3,80,0
3,81,0
3,82,0
3,83,0
3,84,0
3,85,0
3,86,0
3,88,0
3,89,0
3,93,0
3,94,0
3,95,0
3,96,0
3,97,0
3,98,0
3,99,0
3,100,0
3,101,0
3,102,0
3,103,0
3,104,0
3,105,0
3,106,0
3,107,0
3,108,0
3,110,0
3,111,0
3,112,0
3,113,0
3,114,0
3,115,0
3,116,0
3,117,0
3,118,0
3,119,0
3,121,0
3,123,0
3,124,0
3,125,0
3,126,0
3,127,0
4,2,1
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,10,0
4,11,0
4,12,0
4,13,0
4,17,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,40,0
4,41,0
4,42,0
4,44,0
4,45,0
4,46,0
4,47,0
4,49,0
4,51,0
4,52,0
4,54,0
4,55,0
4,56,0
4,60,0
4,61,0
4,63,0
4,64,0
4,66,0
4,67,0
4,68,0
4,69,0
4,71,0
4,72,0
4,73,0
4,74,0
4,75,0
4,76,0
4,77,0
4,78,0
4,79,0
4,80,0
4,81,0
4,82,0
4,83,0
4,84,0
4,85,0
4,86,0
4,88,0
4,90,0
4,95,0
4,96,0
4,97,0
4,98,0
4,99,0
4,100,0
4,101,0
4,102,0
4,103,0
4,104,0
4,105,0
4,106,0
4,107,0
4,110,0
4,112,0
4,113,0
4,114,0
4,115,0
4,116,0
4,117,0
4,118,0
4,119,0
4,120,0
4,122,0
4,123,1
4,126,0
4,127,0
5,2,0
5,3,0
5,4,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,15,0
5,17,1
5,28,0
5,29,0
5,32,0
5,33,0
5,34,0
5,37,0
5,38,0
5,39,0
5,40,0
5,41,0
5,43,0
5,44,0
5,49,0
5,50,0
5,51,0
5,52,0
5,53,0
5,55,0
5,56,0
5,58,0
5,59,0
5,60,0
5,61,0
5,63,0
5,64,0
5,66,0
5,68,0
5,69,0
5,70,0
5,71,0
5,72,0
5,73,0
5,74,0
5,75,0
5,76,0
5,77,0
5,78,0
5,79,0
5,80,0
5,81,0
5,82,0
5,83,0
5,84,0
5,85,0
5,86,0
5,87,0
5,89,0
5,91,0
5,92,0
5,93,0
5,94,0
5,95,0
5,97,0
5,98,0
5,99,0
5,100,0
5,101,0
5,102,0
5,104,0
5,105,0
5,106,0
5,107,0
5,108,0
5,109,0
5,110,0
5,111,0
5,112,0
5,113,0
5,114,0
5,115,0
5,116,0
5,117,0
5,118,0
5,122,0
5,123,0
5,126,0
5,127,0
6,1,0
6,2,1
6,3,0
6,7,0
6,8,0
6,10,0
6,11,0
6,13,0
6,24,1
6,28,0
6,30,0
6,33,0
6,34,0
6,35,0
6,36,0
6,37,0
6,38,0
6,41,0
6,42,0
6,43,0
6,44,0
6,47,0
6,49,0
6,50,0
6,51,0
6,52,0
6,54,0
6,55,0
6,56,0
6,58,0
6,60,0
6,61,0
6,62,0
6,63,0
6,64,0
6,65,0
6,66,0
6,67,0
6,68,0
6,69,0
6,70,0
6,71,0
6,72,0
6,74,0
6,75,0
6,76,0
6,77,0
6,78,0
6,79,0
6,80,0
6,81,0
6,83,0
6,84,0
6,85,0
6,86,0
6,90,0
6,91,0
6,92,0
6,93,0
6,94,0
6,95,0
6,96,0
6,97,0
6,98,0
6,99,0
6,100,0
6,101,0
6,102,0
6,103,0
6,104,0
6,105,0
6,107,0
6,108,0
6,109,0
6,111,0
6,114,0
6,115,0
6,116,0
6,117,0
6,118,0
6,121,0
6,127,0
7,2,1
7,3,1
7,4,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,12,0
